oficina,departamento,horario_atencion,dias_de_apertura,dias_de_cierre,direccion,indicativo,telefono,numero_telefonico_no_1,numero_telefonico_no_2,numero_telefonico_no_3,numero_telefonico_no_4,numero_telefonico_no_5,numero_telefonico_no_6,column14,column15,column16,column17
MAJAGUAL,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO.14-74 CALLE CENTRAL,95,2871118 - 2871112 - 2871035,2871118,2871112,2871035,,,,,,,
SAN JOSE DE PARE,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 3 NO. 1 - 67,98,7297001 - 7297119,7297001,7297119,,,,,,,,
SUESCA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 NO. 8  - 16 CENTRO - FRENTE AL PARQUE PRINCIPAL,91,8563149 - 8563738 - 8563734,8563149,8563738,8563734,,,,,,,
SAN SEBASTIAN,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 3 NO. 6-74,92,8272593 - 8701508,8272593,8701508,,,,,,,,
ICONONZO,TOLIMA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 6 # 7-01,91,8682325 - 8682134 - 8682032 - 8682326,8682325,8682134,8682032,8682326,,,,,,
TERUEL,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA 3 NO 5 - 76,98,8780418 - 8780061 - 878 02 34,8780418,8780061,8780234,,,,,,,
CHOACHI,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 NO 4-08,91,8486482 - 8486355 - 8486354 - 8486642 - 8486015,8486482,8486355,8486354,8486642,8486015,,,,,
NORCASIA,CALDAS,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,CRA. 6A NO. 10-44,96,8554068 - 8554047,8554068,8554047,,,,,,,,
SUCRE,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 9 NO.2-04,95,2879281 - 2879011 - 2810527 - 2810163,2879281,2879011,2810527,2810163,,,,,,
ARANZAZU,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA 6 NO 6 - 27,96,8501398 - 8510038 - 8510398 - 8510399,8501398,8510038,8510398,8510399,,,,,,
MONTERIA,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA.3 NO.29-21,94,7823002 - 7821061 - 7820755 - 7825727,7823002,7821061,7820755,7825727,,,,,,
CHIVOLO,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,TRANSV. 5ª NO.3-86     CARRERA 13 NO.5-54,95,4854144 - 4854140 - 4854485 - 4854139,4854144,4854140,4854485,4854139,,,,,,
VIOTA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 20 NO.10-33,91,8349032 - 8349033 - 8349310 - 318 7119187,8349032,8349033,8349310,,,3187119187,,,,
PIEDRAS,TOLIMA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2 NO 2 - 24/26,98,2834424 - 2834020,2834424,2834020,,,,,,,,
MEDELLIN  JUNIN (La Playa),ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 51 NO.  49-11 EDIFICIO FABRICATO,94,2311662 - 5119455 - 5116219 - 5116016 - 5745600,2311662,5119455,5116219,5116016,5745600,,,,,
SAN JUANITO,META,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 7 NO. 2-55 CENTRO,98,6630149 - 6636119,6630149,6636119,,,,,,,,
ANORI,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 29 CALLE 30 PLAZA PPAL.,94,8350045 - 8350824 - 8350825,8350045,8350824,8350825,,,,,,,
SANTA ROSALIA,VICHADA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA. 1 CENTRO,98,5600172,5600172,,,,,,,,,
CANALETE,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,DIAGONAL AL PARQUE,94,7601222 - 7601200 - 7601223,7601222,7601200,7601223,,,,,,,
CHITA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 4 - 43,98,7892286 - 7892289 - 7892213 -  789 22 68,7892286,7892289,7892213,7892268,,,,,,
BOAVITA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.7 CALLE 5 LOCAL 107 EDIFICIO DEL GOBIERNO MUNICIPAL,98,7885411 - 7885229,7885411,7885229,,,,,,,,
PLANADAS,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA 6 NO 5 - 43        CRA. 6 NO. 8-40,98,2265794 - 2265700 - 2265077 - 2265078 - 2265974,2265794,2265700,2265077,2265078,2265974,,,,,
ANGELOPOLIS,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 11 NO. 11 - 43/45,94,8421156 - 8421157 - 8421155 - 8421159,8421156,8421157,8421155,8421159,,,,,,
SOTOMAYOR,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 5 ARAUJO CON CARRERA 5 BENAVIDES ESQUINA - PARQUE PRINCIPAL,92,7287787,7287787,,,,,,,,,
ACHI,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 7 NO.11-27 LAS DELICIAS CENTRO,95,6820316 - 6820315 - 6820317,6820316,6820315,6820317,,,,,,,
JESUS MARIA,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PALACIO MPAL,97,7569607 - 7569608,7569607,7569608,,,,,,,,
LURUACO,ATLÁNTICO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 20 Nº. 18-38/50,95,8749018 - 8749029,8749018,8749029,,,,,,,,
SIMITI,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 25 NO. 28-03,95,5699204 - 5699028,5699204,5699028,,,,,,,,
PUERTO TEJADA,CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.20 CALLE 15 Y 14,92,8283251 - 8285027 - 8283253 - 8283253 - 8282176,8283251,8285027,8283253,8283253,8282176,,,,,
CARACOLI,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 21 NO.20B-23 CALLE LA BÁCULA,94,8336397 - 8336337 - 8336042 - 8336701 - 8336338,8336397,8336337,8336042,8336701,8336338,,,,,
LA PINTADA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 30A NO. 30 - 84 SECTOR EL CRUCERO,94,8453700 - 8453600 - 8453636,8453700,8453600,8453636,,,,,,,
FACATATIVA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 NO. 5-40,91,8428122 - 8423553 - 8424767 - 8424943 - 8422061,8428122,8423553,8424767,8424943,8422061,,,,,
BOGOTA - CORABASTOS,BOGOTÁ D.C,6.30 A.M. A 3:30 PM 8:00 A.M. A 1 P.M.,LUNES A VIERNES SABADO,DOMINGO,CRA. 86 NO. 24 A 19 SUR LOCAL D,91,2644160 - 2644180 -  264 42 20  - 456 93 51 - 2644140,2644160,2644180,2644220,4569351,2644140,,,,,
MORALES,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 NO.4-30 CALLE PRINCIPAL MORALES.,92,8493131 - 8493021 - 8493054,8493131,8493021,8493054,,,,,,,
MOCOA,PUTUMAYO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7 NO. 6 - 21 BARRIO CENTRO  - ESQUINA,98,4295135 - 4295455 - 4295310 - 4295311 - 4295313,4295135,4295455,4295310,4295311,4295313,,,,,
GIRARDOTA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO.. 14-26,94,2896362 - 2890340 - 2891281,2896362,2890340,2891281,,,,,,,
BARBOSA,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 10 NO.7-64,97,7486152 - 7485789 - 7486260 - 7486219 - 7486089,7486152,7485789,7486260,7486219,7486089,,,,,
LA MACARENA,META,7.00 A.M. A 2:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO. 6 -09,98,5603200 - 5603199 - 5603198 - 5603595,5603200,5603199,5603198,5603595,,,,,,
VILLAGARZON,PUTUMAYO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 6 NO.6-64,98,4284156 - 4284155 - 4284781,4284156,4284155,4284781,,,,,,,
MESETAS,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 7 NO.8-74,98,6598029 - 6598020 - 6598092,6598029,6598020,6598092,,,,,,,
CERRO DE SAN ANTONIO,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE   5    Nº. 4-41  CALLE PRINCIPAL - BARRIO EL CENTRO,95,8781813,8781813,,,,,,,,,
ALTAMIRA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLES 10 Y 11 NO. 10 - 17 PARQUE PRINCIPAL ALTAMIRA - BETULIA,94,8630129 - 8630119 - 8630113 - 8630130,8630129,8630119,8630113,8630130,,,,,,
SABANAS DE SAN ANGEL,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 NO. 3 - 03 PLAZA PRINCIPAL,95,5090107,5090107,,,,,,,,,
SUCRE,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CENTRO,97,7565636 - 7565635 -  - Celufijo 3124571315,7565636,7565635,,,,3124571315,,,,
DABEIBA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 10 NO. 8 - 27 - CARRERA URIBE - URIBE,94,859 00 98 - 8590987 - 8590217,8590098,8590987,8590217,,,,,,,
MATANZA,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 4 N° 5-48/50,97,6298338 - 6298168,6298338,6298168,,,,,,,,
EL DIFICIL,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 5-120,95,4257027 - 4258069 - 4257400,4257027,4258069,4257400,,,,,,,
BOCHALEMA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 4 N° 2-66,97,5863509 - 5863024 - 5863510,5863509,5863024,5863510,,,,,,,
CACHIRA,NORTE DE SANTANDER,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA. 7 N° 5-29 PARQUE PRINCIPAL,97,5687051 - 5687008 - 5687050 - 5687052,5687051,5687008,5687050,5687052,,,,,,
BUENAVISTA,QUINDIO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2 NO 3 - 30,96,7547071 - 7547007 - 7547008,7547071,7547007,7547008,,,,,,,
TADO,CHOCÓ,7.00 A.M. A 2:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 16 NO.6-22,94,6795516,6795516,,,,,,,,,
VALENCIA,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA.  12  Nº.  15-75,94,7773042 - 7773062,7773042,7773062,,,,,,,,
LENGUAZAQUE,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 2 -70,91,8557516 - 8557006 - 8557175,8557516,8557006,8557175,,,,,,,
PINILLOS,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PLAZA  PRINCIPAL,95,6826025 - 6826044,6826025,6826044,,,,,,,,
BALBOA,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 5 NO. 2-32,92,8265310 - 8265555,8265310,8265555,,,,,,,,
BOGOTA - DEPOSITOS JUDICIALES (CENTRO),BOGOTÁ D.C,8:00 AM A 3:30 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 14 NO.7-33 LOCAL 101,91,2864005 - 2864270 - 2864329 - 5997075 - 3417360,2864005,2864270,2864329,5997075,3417360,,,,,
GACHETA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 4-27,91,8535345 - 8535046 - 8535346,8535345,8535046,8535346,,,,,,,
SAN ANDRES,SANTANDER,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 5 N° 8-10,97,6624234,6624234,,,,,,,,,
SAN JOSE DE RISARALDA,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE PRINCIPAL,96,8608577 - 8608704,8608577,8608704,,,,,,,,
SABANALARGA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 20 NRO. 19-26,94,8554043 - 8554180,8554043,8554180,,,,,,,,
CHOCONTA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CENTRO COMERCIAL MOLINO DEL PARQUE - CARRERA 5 NO. 5-73 - PLAZA PRINCIPAL-  LOCAL 2002 SEGUNDO PISO,91,8562208 - 8562901 - 8562901 - 8562997 - 8562054,8562208,8562901,8562901,8562997,8562054,,,,,
LANDAZURI,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.6 NO.6-04 PALACIO MUNICIPAL PISO 1,97,6242082 - 6242259 -   6242138,6242082,6242259,6242138,,,,,,,
RIVERA,HUILA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 7 NO. 3-57 - 3-59,98,8386038 - 8387125,8386038,8387125,,,,,,,,
DOLORES,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA. 7 NO.2-09/17,98,2268007 - 2268006,2268007,2268006,,,,,,,,
CALI  ARISTI,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA. 9 NO. 9 - 60,92,8838857 - 8833850 - 8983333 - 8854609 - 8842735,8838857,8833850,8983333,8854609,8842735,,,,,
SAN AGUSTIN,HUILA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.13 NO.3-72,98,8373805 - 8373040 - 8373197 - 8373161,8373805,8373040,8373197,8373161,,,,,,
RICAURTE,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE PRINCIPAL RICAURTE,92,7753454,7753454,,,,,,,,,
SUAREZ,CAUCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 5 NO. 6-25,92,8288018,8288018,,,,,,,,,
VENADILLO,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA.4 NO 3 - 92,98,2840299 - 2840298,2840299,2840298,,,,,,,,
CHAPARRAL,TOLIMA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 9 NO. 10 - 30  BARRIO EL CENTRO,98,2464475 - 2464279 - 2463397 - 2246447,2464475,2464279,2463397,2246447,,,,,,
BARRANQUILLA( PPAL ),ATLÁNTICO,7:00 A.M. A 12:30 P.M.. Y DE 2:00 P.M. A 7:00 PM Y SABADO DE 8:30 A.M. A 12M,LUNES A VIERNES Y SABADO,DOMINGO,CARRERA 46 NO.45-50,95,511348 - 791396 - 3706060 - 3406532 - 3445244,3706060,3406532,3445244,3511348,,,,,,
ENVIGADO,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 38 SUR  NO. 42-03,94,2760687 - 2769331 - 2769024 - 2702011 - 3310688,2760687,2769331,2769024,2702011,3310688,,,,,
SAN ANDRES DE SOTAVENTO,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 9 NO.5-59     CALLE 8 B NO. 7 B -59 CENTRO,94,7783020 - 7770177 - 7770077 - 7770524,7783020,7770177,7770077,7770524,,,,,,
MOMIL,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 10 NO. 9 -07,94,7763011 - 7763527,7763011,7763527,,,,,,,,
EBEJICO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 20 NO. 20-11/29/CARRERA 20 NO. 20-11,94,8562031 - 8562706 - 8562121,8562031,8562706,8562121,,,,,,,
HOBO,HUILA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 8 NO. 5-36,98,8384003 - 8384009,8384003,8384009,,,,,,,,
CAPARRAPI,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA. 4 NO. 7-25,91,8532006 - 8532096 - 8532162 - 8532160,8532006,8532096,8532162,8532160,,,,,,
LA ESTRELLA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 80 SUR NO. 60 - 26 PARQUE PRINCIPAL,94,2797855 - 2790913 - 2790829,2797855,2790913,2790829,,,,,,,
RIOHACHA,LA GUAJIRA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 2 Nº. 6-67/69,95,7276093 - 7273862 - 7272491 - 7273861 - 7273863,7276093,7273862,7272491,7273861,7273863,,,,,
FUENTE DE ORO,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA  14 CENTRO,98,6573200 - 6573313 - 6573220,6573200,6573313,6573220,,,,,,,
ITUANGO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA SANTANDER CON CALLE BERRÍO EDIF. DEL CAFÉ,94,8643110 - 8643315 - 8643031,8643110,8643315,8643031,,,,,,,
AGUA DE DIOS,CUNDINAMARCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 9 NO.14-02/08,91,8342753 - 8342299 - 8343187 - 8342292 - 8345203,8342753,8342299,8343187,8342292,8345203,,,,,
CARMEN DE APICALA,TOLIMA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 A NO. 5-06 ESQUINA,98,2478666 - 2478198 - 2 478667,2478666,2478198,2478667,,,,,,,
SANTANDER DE QUILICHAO,CAUCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 4 NO.9-06,92,8294229 - 8292333 - 8292009 - 8292335 - 8286534,8294229,8292333,8292009,8292335,8286534,,,,,
MARQUETALIA,CALDAS,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,CALLE 3 NO. 1A - 53,96,8567161 - 8567070 - 8567831 - 8567071,8567161,8567070,8567831,8567071,,,,,,
SAN CARLOS DE GUAROA,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 12 NO.4-53 PARQUE PRINCIPAL,98,6557102 - 6557101,6557102,6557101,,,,,,,,
ACACIAS,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 17 NO. 12 - 51,98,6565740 - 6560340 - 6560231 - 6563013 - 6563040,6565740,6560340,6560231,6563013,6563040,,,,,
HATO COROZAL,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 12 NO. 8-13,98,6378065 - 6378064,6378065,6378064,,,,,,,,
MANAURE,LA GUAJIRA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 3 NO. 3-36 BARRIO CENTRO,95,7178204 - 7178023,7178204,7178023,,,,,,,,
GOMEZ PLATA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 50 NO.49-13,94,8628097 - 8627320 - 8627534,8628097,8627320,8627534,,,,,,,
SALAMINA,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA 7 NO 4 - 73,96,8596776 - 8595098 - 8595310 - 8595435 - 8595667,8596776,8595098,8595310,8595435,8595667,,,,,
SANTUARIO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA.50 NO.50-35/37,94,5465696 - 5460844 - 5462832 - 45466034 - 5460021,5465696,5460844,5462832,4546603,5460021,,,,,
GAMEZA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 3-05,98,7772826 - 7778777 - 7778109,7772826,7778777,7778109,,,,,,,
UBALA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 NO.4-16,91,8537085   - 8537086 - 8537037 - 8537001 - 8537087,8537085,8537086,8537037,8537001,8537087,,,,,
TENJO,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 3 – 40,91,8645034,8645034,,,,,,,,,
PAZ DE RIO - BOYACÁ,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 3 NO. 7 - 50 PARQUE PRINCIPAL.,98,7865125 - 7865044,7865125,7865044,,,,,,,,
BOGOTA - GOBERNACION DE CUND.,BOGOTÁ D.C,9:00 A.M. A 4:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CELLE 26 NO.47-73 EDIF.GOBERNACIÓN DE CUND.,91,3157523 - 2810888 - 4261402 - 4261408 - 3157523,3157523,2810888,4261402,4261408,3157523,,,,,
SOCHA,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 10 N0. 3-57 PARQUE PRINCIPAL,98,- 7874272 - 7874271 - 7874029,7874272,7874271,7874029,,,,,,,
PUPIALES,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 2 NO. 4-22,92,7246040 - 7246006,7246040,7246006,,,,,,,,
LOURDES,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 NO. 3-46,97,5866499 - 5866056,5866499,5866056,,,,,,,,
SAMACA,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 6 NO. 4 - 65,98,7372120 -  737 21 35   -  737 22 07,7372120,7372135,7372207,,,,,,,
BOLIVAR,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO.3 -61,92,2224919 - 2224054 - 2224146 - 2224122 - 2224124,2224919,2224054,2224146,2224122,2224124,,,,,
TARQUI,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA 4 NO 9 - 24  CALLE 4 NO. 9-24,98,8329220 - 8329222,8329220,8329222,,,,,,,,
SABOYA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 10 NO. 6 - 45,98,7255204 - 7251108 - 7255147 - 7255115,7255204,7251108,7255147,7255115,,,,,,
